Name,Team,Attack Points,Attack Errors,Attack Attempts,Block Points,Block Errors,Rebounds,Serve Points,Serve Errors,Serve Attempts,Successful Sets,Set Errors,Set Attempts,Spike Digs,Dig Errors,Successful Receives,Receive Errors,Receive Attempts
Adamczyk,POL,11,1,8,3,6,4,1,5,23,0,0,3,2,4,0,0,1
Adriano,BRA,9,8,13,1,0,5,4,2,34,0,0,3,7,5,8,1,28
Ahyi,NED,109,35,78,12,19,16,3,30,52,1,0,17,27,21,0,0,2
Alan,BRA,80,14,46,13,14,12,4,11,59,0,0,6,9,11,0,1,3
Alexandre,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alonso,CUB,26,5,19,13,27,31,0,5,61,1,0,2,7,4,2,3,4
Amin,IRI,88,25,53,6,12,17,6,14,63,2,1,18,26,14,0,1,4
Antov,BUL,77,27,61,2,18,21,6,34,56,1,0,6,24,16,0,1,0
Anzani,ITA,18,1,9,6,17,25,2,7,56,0,0,9,7,2,0,1,5
Ariakhah P.,IRI,6,2,3,1,0,0,0,3,3,0,0,0,1,0,0,0,0
Arman,IRI,0,0,0,0,0,0,0,0,0,2,0,28,30,13,34,3,46
Armoa Morel,ARG,4,2,2,0,1,0,0,3,6,0,0,0,2,4,3,2,9
Arshia,IRI,4,1,6,3,13,11,0,13,50,141,5,312,25,12,0,1,2
Arthur,BRA,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,1
Asparuhov,BUL,57,17,57,6,15,21,1,15,57,0,1,27,20,7,32,14,111
Atanasov,BUL,11,8,11,1,1,2,1,2,7,0,0,2,0,0,4,4,15
B. Bayraktar,TUR,0,0,0,0,0,0,0,0,0,2,0,52,51,27,30,8,121
Bak,NED,0,1,0,0,1,0,0,0,1,0,0,0,5,4,1,0,2
Balaso,ITA,0,0,0,0,0,0,0,0,0,0,1,21,27,12,17,3,34
Bayram,TUR,20,5,14,2,3,3,0,9,22,0,0,1,11,4,8,4,21
Bedirhan,TUR,43,8,15,13,29,26,6,12,70,1,0,11,13,6,8,0,16
Berkhout,NED,1,0,6,2,9,8,0,4,55,114,0,241,13,7,0,0,1
Bisset,CUB,5,6,9,2,2,8,0,3,7,1,0,4,4,1,0,0,0
Böhme,GER,5,4,7,1,2,2,0,4,0,0,0,2,4,0,0,0,0
Boiko,UKR,0,0,0,0,0,0,0,0,0,2,0,61,58,31,40,9,105
Boninfante,ITA,1,0,0,0,1,1,0,4,6,4,0,44,2,0,0,1,0
Bottolo,ITA,34,11,36,5,4,11,1,17,30,1,0,8,13,3,19,3,42
Bozhilov,BUL,0,0,0,0,0,0,0,0,0,1,0,33,16,7,31,10,101
Bračko,SLO,31,7,35,1,14,14,2,13,31,0,0,10,11,8,17,8,57
Brand,GER,37,12,33,6,16,10,1,7,32,0,0,11,18,7,16,7,65
Brborić,SRB,7,4,3,1,2,1,0,6,12,0,0,0,1,2,2,2,12
Briggs,USA,0,0,0,0,0,0,0,0,0,2,1,8,12,8,13,2,31
Brizard,FRA,3,0,1,1,3,3,4,2,9,44,1,83,3,1,0,0,0
Burggräf,GER,0,0,0,0,0,1,1,2,11,14,0,21,4,3,0,0,0
Camino,CUB,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,9
Can Koç,TUR,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chaboissant,FRA,1,0,3,1,3,0,0,4,11,21,0,50,2,3,0,0,1
Champlin,USA,30,11,33,3,6,7,2,11,41,2,0,8,14,7,12,5,44
Chelenyak,UKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinenyeze,FRA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chizoba,BRA,3,2,5,1,5,0,0,1,5,0,0,0,0,1,0,0,0
Clevenot,FRA,99,21,91,14,20,19,4,12,101,0,1,28,38,13,33,9,73
Concepcion,CUB,44,9,16,19,36,29,8,14,68,0,0,7,14,2,0,1,8
Conde,ARG,1,3,5,1,0,1,0,3,2,0,0,3,0,0,1,1,12
Cortesia,ITA,2,1,2,1,6,4,0,0,5,0,0,0,0,0,0,0,0
Currie,CAN,0,0,0,0,0,0,0,0,0,0,0,25,34,38,35,11,81
Czunkiewicz,POL,0,0,0,0,0,0,0,0,0,0,4,19,20,18,11,4,47
D. Dimitrov,BUL,9,3,7,4,5,3,0,3,14,1,0,2,5,0,0,0,0
Dagostino,USA,0,0,0,0,0,0,0,0,0,0,1,34,16,21,10,5,54
Daneshdoust,IRI,21,5,16,5,7,1,2,0,41,3,0,2,11,6,6,6,50
Darlan,BRA,73,27,40,2,14,7,4,14,38,0,0,3,6,8,0,0,0
Diaz,ARG,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0,0
Diez,FRA,0,0,0,0,0,0,0,0,0,2,0,47,52,26,45,8,92
Dilmenler,TUR,27,14,30,3,6,3,1,8,18,0,0,5,13,7,0,0,0
Duflos Rossi,FRA,10,7,23,1,4,4,0,3,15,0,0,1,8,3,15,1,24
Eckardt,GER,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Eiro,JPN,2,1,1,1,1,7,0,4,27,56,0,112,5,2,0,0,1
Eisa,IRI,17,6,10,13,19,14,0,6,65,0,0,7,10,1,2,0,4
Elgert,CAN,0,0,1,1,8,11,5,8,67,116,0,266,10,7,0,0,2
Ensing,USA,13,5,7,1,3,4,1,0,7,0,0,1,1,3,0,0,0
Ertuğrul Gazi,TUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esfandiar,IRI,27,7,24,2,4,1,5,11,38,0,0,8,7,0,7,3,27
Ewert,USA,49,17,53,5,17,10,0,8,60,0,0,15,11,16,18,9,80
Faure,FRA,115,39,101,8,21,26,14,34,115,1,0,17,42,17,0,0,1
Feral,FRA,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
Fernando,BRA,6,2,7,0,13,18,4,15,75,275,2,339,13,24,0,1,0
Fiel,CUB,18,7,15,11,25,18,3,6,45,0,0,6,4,3,1,0,4
Firlej,POL,2,1,4,1,6,5,2,4,41,115,1,176,19,7,0,0,2
Flavio,BRA,50,8,18,15,37,40,3,8,96,1,0,3,11,12,1,0,3
Flexen,USA,7,4,7,2,1,4,1,2,7,0,0,2,2,0,3,6,15
Gajović,SRB,0,1,2,0,2,1,3,0,21,0,0,1,0,1,2,0,1
Galassi,ITA,22,3,15,12,17,11,0,6,32,0,0,2,5,2,0,1,7
Gallego,ARG,11,3,14,8,10,11,1,9,27,0,0,2,5,2,0,0,8
Garcia,USA,58,16,40,9,15,19,10,21,43,1,1,9,62,24,57,14,150
Garcia,CUB,0,0,0,0,0,0,0,0,0,0,0,37,14,17,0,0,1
Gargiulo,ITA,43,5,21,19,34,33,3,7,105,1,0,6,9,5,3,1,7
Gasman,USA,4,0,2,0,3,1,1,5,2,0,0,1,2,0,0,0,1
Georgiev,BUL,4,0,1,2,1,4,0,3,10,0,0,0,3,2,0,0,2
Giannelli,ITA,13,5,14,7,21,38,5,10,67,191,3,341,29,15,0,0,4
Gierżot,POL,40,9,30,1,9,3,5,16,28,2,0,3,14,6,20,7,58
Giraudo,ARG,0,0,4,1,4,10,0,4,8,20,2,59,2,1,0,0,1
Gomez,ARG,82,32,40,4,12,16,9,30,39,109,1,294,11,11,0,0,1
Gomez,CUB,9,2,2,3,18,12,6,23,69,0,0,8,7,10,0,0,2
Gomułka,POL,7,3,4,0,1,3,0,4,3,0,0,1,1,2,0,0,0
Gonzalez,CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goto,JPN,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Granieczny,POL,0,0,0,0,0,0,0,0,0,1,1,25,24,10,11,5,52
Graven,GER,0,0,0,0,0,0,0,0,0,0,0,50,58,30,58,8,103
Greves,CAN,0,0,1,0,1,0,0,2,14,0,0,0,0,1,0,0,0
Grozdanov,BUL,14,7,13,13,16,20,2,5,36,1,0,6,3,1,0,1,2
Gueye,FRA,44,9,28,12,31,28,2,17,97,0,0,6,9,7,1,0,10
Gulmezoglu,TUR,28,17,44,4,10,6,3,13,54,0,1,19,14,14,15,5,91
Gürbüz,TUR,37,15,23,1,11,5,1,6,28,1,1,6,16,7,0,1,0
Gyimah,CAN,21,5,10,10,22,21,3,14,30,1,1,6,11,3,4,0,10
Haghparast,IRI,17,10,12,1,7,2,2,5,19,0,0,2,9,1,6,6,24
Hatipoğlu,TUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawryluk,POL,0,0,0,0,0,0,0,0,0,0,0,9,6,4,4,1,12
Hazrat,IRI,0,0,0,0,0,0,0,0,0,0,0,30,36,11,37,6,71
Henno,FRA,18,5,7,0,5,2,2,5,10,0,0,3,7,1,13,1,24
Herr,CAN,2,0,5,1,5,5,2,5,34,103,1,193,6,5,0,0,0
Heslinga,CAN,24,7,20,1,9,4,3,6,25,0,0,7,4,3,11,2,15
Hilmi,TUR,0,0,0,0,1,0,1,0,1,1,0,14,3,1,0,0,0
Hobus,USA,45,18,38,5,7,10,0,12,28,1,0,8,13,5,0,0,1
Hofer,CAN,97,27,62,5,17,26,7,17,64,1,0,19,30,16,40,14,121
Holdaway,USA,3,1,3,2,2,2,1,2,9,0,0,0,2,1,0,0,0
Honorato,BRA,76,23,53,11,19,15,8,15,100,2,0,28,18,26,30,4,124
Huetz,FRA,43,13,24,26,29,40,5,28,48,1,1,4,12,1,5,0,7
Isaacson,USA,1,0,0,1,3,4,1,2,43,68,1,159,7,6,0,0,2
Ivović,SRB,66,38,57,10,23,12,4,22,76,2,1,36,23,12,42,15,111
J. Elser,CAN,0,0,0,0,0,0,0,1,12,0,0,0,0,4,0,0,0
J. Gutierrez,CUB,39,14,25,2,8,10,1,7,35,0,0,11,14,7,19,4,65
Jakubiszak,POL,29,9,15,10,26,27,1,6,78,1,0,4,7,5,3,1,2
Javad,IRI,1,1,1,4,8,8,1,6,33,77,2,178,19,7,0,0,0
Jendryk,USA,24,6,12,6,14,15,1,4,50,0,0,11,9,4,0,0,4
Ji D.S.,CHN,38,14,48,4,7,6,2,14,40,4,1,10,9,6,23,5,52
